run_accession	sample_accession	experiment_accession	library_layout	description	sample_alias	library_strategy	scientific_name	fastq_ftp
SRR13891627	SAMN18174705	SRX10271385	PAIRED	Illumina MiSeq sequencing: High body weight chicken 10 jejunal content	H10JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/027/SRR13891627/SRR13891627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/027/SRR13891627/SRR13891627_2.fastq.gz
SRR13891629	SAMN18174703	SRX10271383	PAIRED	Illumina MiSeq sequencing: High body weight chicken 8 jejunal content	H8JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/029/SRR13891629/SRR13891629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/029/SRR13891629/SRR13891629_2.fastq.gz
SRR13891640	SAMN18174728	SRX10271372	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 3 jejunal mucosa	L3JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/040/SRR13891640/SRR13891640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/040/SRR13891640/SRR13891640_2.fastq.gz
SRR13891642	SAMN18174726	SRX10271370	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 1 jejunal mucosa	L1JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/042/SRR13891642/SRR13891642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/042/SRR13891642/SRR13891642_2.fastq.gz
SRR13891643	SAMN18174699	SRX10271369	PAIRED	Illumina MiSeq sequencing: High body weight chicken 4 jejunal content	H4JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/043/SRR13891643/SRR13891643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/043/SRR13891643/SRR13891643_2.fastq.gz
SRR13891647	SAMN18174722	SRX10271365	PAIRED	Illumina MiSeq sequencing: High body weight chicken 7 jejunal mucosa	H7JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/047/SRR13891647/SRR13891647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/047/SRR13891647/SRR13891647_2.fastq.gz
SRR13891650	SAMN18174719	SRX10271362	PAIRED	Illumina MiSeq sequencing: High body weight chicken 4 jejunal mucosa	H4JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/050/SRR13891650/SRR13891650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/050/SRR13891650/SRR13891650_2.fastq.gz
SRR13891652	SAMN18174717	SRX10271360	PAIRED	Illumina MiSeq sequencing: High body weight chicken 2 jejunal mucosa	H2JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/052/SRR13891652/SRR13891652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/052/SRR13891652/SRR13891652_2.fastq.gz
SRR13891656	SAMN18174714	SRX10271356	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 9 jejunal content	L9JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/056/SRR13891656/SRR13891656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/056/SRR13891656/SRR13891656_2.fastq.gz
SRR13891657	SAMN18174713	SRX10271355	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 8 jejunal content	L8JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/057/SRR13891657/SRR13891657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/057/SRR13891657/SRR13891657_2.fastq.gz
SRR13891660	SAMN18174710	SRX10271352	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 5 jejunal content	L5JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/060/SRR13891660/SRR13891660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/060/SRR13891660/SRR13891660_2.fastq.gz
SRR13891662	SAMN18174708	SRX10271350	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 3 jejunal content	L3JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/062/SRR13891662/SRR13891662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/062/SRR13891662/SRR13891662_2.fastq.gz
SRR13891666	SAMN18174696	SRX10271346	PAIRED	Illumina MiSeq sequencing: High body weight chicken 1 jejunal content	H1JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/066/SRR13891666/SRR13891666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/066/SRR13891666/SRR13891666_2.fastq.gz
SRR13891630	SAMN18174702	SRX10271382	PAIRED	Illumina MiSeq sequencing: High body weight chicken 7 jejunal content	H7JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/030/SRR13891630/SRR13891630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/030/SRR13891630/SRR13891630_2.fastq.gz
SRR13891631	SAMN18174701	SRX10271381	PAIRED	Illumina MiSeq sequencing: High body weight chicken 6 jejunal content	H6JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/031/SRR13891631/SRR13891631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/031/SRR13891631/SRR13891631_2.fastq.gz
SRR13891636	SAMN18174732	SRX10271376	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 7 jejunal mucosa	L7JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/036/SRR13891636/SRR13891636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/036/SRR13891636/SRR13891636_2.fastq.gz
SRR13891637	SAMN18174731	SRX10271375	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 6 jejunal mucosa	L6JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/037/SRR13891637/SRR13891637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/037/SRR13891637/SRR13891637_2.fastq.gz
SRR13891639	SAMN18174729	SRX10271373	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 4 jejunal mucosa	L4JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/039/SRR13891639/SRR13891639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/039/SRR13891639/SRR13891639_2.fastq.gz
SRR13891649	SAMN18174720	SRX10271363	PAIRED	Illumina MiSeq sequencing: High body weight chicken 5 jejunal mucosa	H5JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/049/SRR13891649/SRR13891649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/049/SRR13891649/SRR13891649_2.fastq.gz
SRR13891653	SAMN18174716	SRX10271359	PAIRED	Illumina MiSeq sequencing: High body weight chicken 1 jejunal mucosa	H1JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/053/SRR13891653/SRR13891653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/053/SRR13891653/SRR13891653_2.fastq.gz
SRR13891655	SAMN18174715	SRX10271357	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 10 jejunal content	L10JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/055/SRR13891655/SRR13891655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/055/SRR13891655/SRR13891655_2.fastq.gz
SRR13891658	SAMN18174712	SRX10271354	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 7 jejunal content	L7JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/058/SRR13891658/SRR13891658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/058/SRR13891658/SRR13891658_2.fastq.gz
SRR13891659	SAMN18174711	SRX10271353	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 6 jejunal content	L6JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/059/SRR13891659/SRR13891659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/059/SRR13891659/SRR13891659_2.fastq.gz
SRR13891664	SAMN18174706	SRX10271348	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 1 jejunal content	L1JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/064/SRR13891664/SRR13891664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/064/SRR13891664/SRR13891664_2.fastq.gz
